Rank2011,Rank2010,City,Country,Placename
1,1,Tokyo,Japan,"Tokyo, Japan"
2,6,Oslo,Norway,"Oslo, Norway"
3,8,Geneva,Switzerland,"Geneva, Switzerland"
4,3,Nagoya,Japan,"Nagoya, Japan"
5,7,Zurich,Switzerland,"Zurich, Switzerland"
6,4,Yokohama,Japan,"Yokohama, Japan"
7,10,Bern,Switzerland,"Bern, Switzerland"
8,9,Stavanger,Norway,"Stavanger, Norway"
9,11,Basel,Switzerland,"Basel, Switzerland"
10,5,Kobe,Japan,"Kobe, Japan"
11,2,Luanda,Angola,"Luanda, Angola"
12,12,Copenhagen,Denmark,"Copenhagen, Denmark"
13,16,Caracas,Venezuela,"Caracas, Venezuela"
14,15,Helsinki,Finland,"Helsinki, Finland"
15,25,Sydney,Australia,"Sydney, Australia"
16,14,Moscow,Russia,"Moscow, Russia"
17,23,Canberra,Australia,"Canberra, Australia"
18,17,Libreville,Gabon,"Libreville, Gabon"
19,27,Stockholm,Sweden,"Stockholm, Sweden"
20,24,Paris,France,"Paris, France"
21,22,Seoul,South Korea,"Seoul, South Korea"
22,19,Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil"
23,33,Melbourne,Australia,"Melbourne, Australia"
24,44,Adelaide,Australia,"Adelaide, Australia"
25,35,Perth,Australia,"Perth, Australia"
26,36,Brisbane,Australia,"Brisbane, Australia"
27,49,Darwin,Australia,"Darwin, Australia"
28,85,Port Moresby,Papua New Guinea,"Port Moresby, Papua New Guinea"
29,26,Sao Paulo,Brazil,"Sao Paulo, Brazil"
30,13,Kinshasa,Congo,"Kinshasa, Congo"
31,42,Singapore,Singapore,"Singapore, Singapore"
32,18,Tel Aviv,Israel,"Tel Aviv, Israel"
33,30,Brasilia,Brazil,"Brasilia, Brazil"
34,31,Abidjan,Cote d'Ivoire,"Abidjan, Cote d'Ivoire"
35,43,Beijing,China,"Beijing, China"
36,59,Dakar,Senegal,"Dakar, Senegal"
37,45,Gothenburg,Sweden,"Gothenburg, Sweden"
38,40,Berlin,Germany,"Berlin, Germany"
39,21,Jerusalem,Israel,"Jerusalem, Israel"
40,46,Brussels,Belgium,"Brussels, Belgium"
41,41,Shanghai,China,"Shanghai, China"
42,37,Vienna,Austria,"Vienna, Austria"
43,56,Vancouver,Canada,"Vancouver, Canada"
44,87,Auckland,New Zealand,"Auckland, New Zealand"
45,52,Rome,Italy,"Rome, Italy"
46,28,New York City,USA,"New York City, USA"
47,66,Antwerp,Belgium,"Antwerp, Belgium"
48,54,Strasbourg,France,"Strasbourg, France"
49,20,Abuja,Nigeria,"Abuja, Nigeria"
50,53,Ottawa,Canada,"Ottawa, Canada"
